Station,Line Service,Avg. Weekday Ridership (FY21),Avg. Weekday Ridership (FY22),Avg. Weekday Ridership (FY23)
WESTMORELAND STATION,Red,1419,1521,1579
HAMPTON STATION,Red,267,339,400
TYLER VERNON STATION,Red,139,185,231
ZOO STATION,Red,235,289,280
UNT DALLAS STATION,Blue,754,774,809
CAMP WISDOM STATION,Blue,192,272,425
LEDBETTER STATION,Blue,783,805,780
VA MEDICAL CENTER STATION,Blue,330,405,435
KIEST STATION,Blue,594,651,662
ILLINOIS TC/STATION,Blue,607,695,910
MORRELL STATION,Blue,287,294,412
8TH & CORINTH STATION,Red/Blue,861,1001,1146
CEDARS STATION,Red/Blue,558,628,759
CONVENTION CENTER STATION,Red/Blue,342,362,515
Union Station,Red/Blue,707,883,1024
NORTH CARROLLTON/FRANKFORD STATION,Green,781,918,955
TRINITY MILLS RAIL STATION,Green,402,491,538
DOWNTOWN CARROLLTON STATION,Green,306,403,451
FARMERS BRANCH STATION,Green,384,476,545
ROYAL LANE STATION,Green,455,535,472
WALNUT HILL/DENTON STATION,Green,320,443,457
DFW AIRPORT STATION,Orange,893,1087,1278
BELT LINE STATION,Orange,230,245,273
DALLAS COLLEGE NORTHLAKE CAMPUS STATION,Orange,241,288,350
HIDDEN RIDGE STATION,Orange,70,99,149
IRVING CONVENTION CENTER STATION,Orange,119,129,135
LAS COLINAS URBAN CENTER STATION,Orange,95,135,196
UNIVERSITY OF DALLAS STATION,Orange,124,145,172
BACHMAN STATION,Green/Orange,1402,1695,2019
BURBANK STATION,Green/Orange,235,262,168
INWOOD/LOVE FIELD STATION,Green/Orange,757,907,987
SOUTHWEST MEDICAL DISTRICT/PARKLAND,Green/Orange,1348,1632,1878
MARKET CENTER STATION,Green/Orange,277,396,481
VICTORY STATION,Green/Orange,644,1038,1266
WEST END STATION,Red/Blue/Green/Orange,5136,5843,6341
AKARD STATION,Red/Blue/Green/Orange,1680,2244,2780
ST PAUL STATION,Red/Blue/Green/Orange,1848,2351,2790
PEARL/ARTS DISTRICT STATION,Red/Blue/Green/Orange,2349,2280,3908
DEEP ELLUM STATION,Green,255,379,398
BAYLOR STATION,Green,526,731,841
FAIR PARK STATION,Green,396,848,888
MLK STATION,Green,859,1021,1163
HATCHER STATION,Green,549,567,594
LAWNVIEW STATION,Green,413,504,517
LAKE JUNE STATION,Green,433,480,522
BUCKNER STATION,Green,1254,1433,1469
CITYPLACE/UPTOWN STATION,Red/Blue/Orange,1049,1236,1372
SMU/MOCKINGBIRD STATION,Red/Blue/Orange,1243,1509,1874
WHITE ROCK STATION,Blue,230,316,377
LAKE HIGHLANDS STATION,Blue,171,228,299
LBJ / SKILLMAN STATION,Blue,531,583,622
FOREST / JUPITER STATION,Blue,394,514,563
DOWNTOWN GARLAND STATION,Blue,551,656,744
DOWNTOWN ROWLETT STATION,Blue,871,934,1062
LOVERS LANE STATION,Red/Orange,593,721,665
PARK LANE STATION,Red/Orange,1074,1345,1498
WALNUT HILL STATION,Red/Orange,415,528,619
FOREST LN STATION,Red/Orange,902,1065,1262
LBJ / CENTRAL STATION,Red/Orange,755,841,1019
SPRING VALLEY STATION,Red/Orange,542,664,742
ARAPAHO CENTER STATION,Red/Orange,308,394,473
GALATYN PARK STATION,Red/Orange,118,158,225
CITYLINE/BUSH STATION,Red/Orange,297,408,572
DOWNTOWN PLANO STATION,Red/Orange,352,404,513
PARKER ROAD STATION,Red/Orange,1563,1788,1941
